Token Symbol|Swap|Token Contract|LP Pair Contract
EURS|UNI|0xdb25f211ab05b1c97d595516f45794528a807ad8|0x7cc34ea5d7103d01b76e0dccf1ddad9f376801e9
AXS|UNI|0xf5d669627376ebd411e34b98f19c868c8aba5ada|0x24b24af104c961da1ba5bccce4410d49aa558477
BTMX|UNI|0xcca0c9c383076649604ee31b20248bc04fdf61ca|0xa3bc32ccc6edacc429a577572b51a118c3a4c562
LPT|UNI|0x58b6a8a3302369daec383334672404ee733ab239|0x755c1a8f71f4210cd7b60b9439451efcbeba33d1
DGTX|UNI|0xc666081073e8dff8d3d1c2292a29ae1a2153ec09|0xf4ef707f3f4166cc79af15959014dbe0ecd7efa3
ENG|UNI|0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4|0x67167a6223763518485392b579d433a43cd94215
FET|UNI|0xaea46a60368a7bd060eec7df8cba43b7ef41ad85|0x4042a04c54ef133ac2a3c93db69d43c6c02a330b
FARM|UNI|0xa0246c9032bc3a600820415ae600c6388619a14d|0x514906fc121c7878424a5c928cad1852cc545892
ADX|UNI|0xade00c28244d5ce17d72e40330b1c318cd12b7c3|0xd3772a963790fede65646cfdae08734a17cd0f47
STAKE|UNI|0x0ae055097c6d159879521c384f1d2123d1f195e6|0x3b3d4eefdc603b232907a7f3d0ed1eea5c62b5f7
BZRX|UNI|0x56d811088235f11c8920698a204a5010a788f4b3|0xb9b752f7f4a4680eeb327ffe728f46666763a796
IDEX|UNI|0xb705268213d593b8fd88d3fdeff93aff5cbdcfae|0xfcfe058efa0be5bccfdd45e2c079997935fe0a64
NEC|UNI|0xcc80c051057b774cd75067dc48f8987c4eb97a5e|0x2dda09fb929c576a6ab6c1d1ee62e8af72b2f6a7
SAND|UNI|0x3845badade8e6dff049820680d1f14bd3903a5d0|0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74
MLN|UNI|0xec67005c4e498ec7f55e092bd1d35cbc47c91892|0x15ab0333985fd1e289adf4fbbe19261454776642
CREAM|UNI|0x2ba592f78db6436527729929aaf6c908497cb200|0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f
DPI|UNI|0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b|0x4d5ef58aac27d99935e5b6b4a6778ff292059991
tBTC|UNI|0x8daebade922df735c38c80c7ebd708af50815faa|0x854056fd40c1b52037166285b2e54fee774d33f6
LOOM|UNI|0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0|0x8a4615a8a1ad94257567762c16007d02f76ede00
MX|UNI|0x11eef04c884e24d9b7b4760e7476d06ddf797f36|0xdf4aa141031e85468137ed125749c4f6a57f8f5b
KP3R|UNI|0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44|0x87febfb3ac5791034fd5ef1a615e9d9627c2665d
AKRO|UNI|0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7|0x8cb77ea869def8f7fdeab9e4da6cf02897bbf076
REQ|UNI|0x8f8221afbb33998d8584a2b05749ba73c37a938a|0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad
QSP|UNI|0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d|0x0a05e2e9d6333387d4f634b08fff5210292f5561
MTA|UNI|0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2|0x0d0d65e7a7db277d3e0f5e1676325e75f3340455
AST|UNI|0x27054b13b1b798b345b591a4d22e6562d47ea75a|0xca9c4cc09e901f4d2aa072ed1aa95dcbe3a7a8e5
DUSD|UNI|0x5bc25f649fc4e26069ddf4cf4010f9f706c23831|0x8ccd68af5e35fe01c56ad40cd2ed27cbd7767fb1
BTSE|UNI|0x666d875c600aa06ac1cf15641361dec3b00432ef|0x9660882055eeb18e54deee7725dec5a4b6ae1138
DF|UNI|0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0|0x232818620877fd9232e9ade0c91ef5518eb11788
DMG|UNI|0xed91879919b71bb6905f23af0a68d231ecf87b14|0x8175362afbeee32afb22d05adc0bbd08de32f5ae
KARMA|UNI|0xdfe691f37b6264a90ff507eb359c45d55037951c|0x78467084b9edc2672c28c5cd8f076dc6f2ec1a66
TKN|UNI|0xaaaf91d9b90df800df4f55c205fd6989c977e73a|0x050397956e1fc8a0a2e62af035275f8a415b85a7
PNT|UNI|0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed|0x77bbc2b409c2c75e4999e8e3eb8309efff37cf2d
YAM|UNI|0x0aacfbec6a24756c20d41914f2caba817c0d8521|0xe2aab7232a9545f29112f9e6441661fd6eeb0a5d
AUDIO|UNI|0x18aaa7115705e8be94bffebde57af9bfc265b998|0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79
GHST|UNI|0x3f382dbd960e3a9bbceae22651e88158d2791550|0xab659dee3030602c1af8c29d146facd4aed6ec85
SWRV|UNI|0xb8baa0e4287890a5f79863ab62b7f175cecbd433|0xc139d8450177c0b8c3788608518687b585f7ae5a
FOAM|UNI|0x4946fcea7c692606e8908002e55a582af44ac121|0xd9d39540d61f8d6eb2ee7eedfae93cc09cc24f0e
LIEN|UNI|0xab37e1358b639fd877f015027bb62d3ddaa7557e|0x3859b3d01b4eac043a5070d3911a7ccd873ec6ac
PRE|UNI|0xec213f83defb583af3a000b1c0ada660b1902a0f|0xf248959d7aa50cd47b448f507063eaa6cc5404c4
GEN|UNI|0x543ff227f64aa17ea132bf9886cab5db55dcaddf|0xf37ed742819ec006b0802df5c2b0e9132f22c625
JRT|UNI|0x8a9c67fee641579deba04928c4bc45f66e26343a|0x2b6a25f7c54f43c71c743e627f5663232586c39f
MEME|UNI|0xd5525d397898e5502075ea5e830d8914f6f0affe|0x5dfbe95925ffeb68f7d17920be7b313289a1a583
BOND|UNI|0x0391d2021f89dc339f60fff84546ea23e337750f|0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244
APY|UNI|0x95a4492f028aa1fd432ea71146b433e7b4446611|0xf043c39a106db6b58c76995f30ba35fd211c3b76
INDEX|UNI|0x0954906da0bf32d5479e25f46056d22f08464cab|0x3452a7f30a712e415a0674c0341d44ee9d9786f9
DHT|UNI|0xca1207647ff814039530d7d35df0e1dd2e91fa84|0x8cab3e311702acb64e250926d77134fde604bd4d
DOUGH|UNI|0xad32a8e6220741182940c5abf610bde99e737b2d|0xe8846b27988ff52c371d5bd27bf8dba4097c93d2
HGET|UNI|0x7968bc6a03017ea2de509aaa816f163db0f35148|0xe41e01a3231c0f19bacb9baee26a8554e0796391
BFT|UNI|0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f|0x623ac7e26c774dbc646e0d4ac12110567cef579f
ROOK|UNI|0xfa5047c9c78b8877af97bdcb85db743fd7313d4a|0x70ec2fa6eccf4010eaf572d1c1a7bcbc72dec983
YAMV2|UNI|0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a|0xa5904961f61bae7c4dd8478077556c91bf291cfd
DFD|UNI|0x20c36f062a31865bed8a5b1e512d9a1a20aa333a|0xac8833b0da01b8f2ca53f549f13b5790066a842d
BLT|UNI|0x107c4504cd79c5d2696ea0030a8dd4e92601b82e|0xf1ff4c672dabf9aea4813dda6de66b860b0970b4
SLP|UNI|0x37236cd05b34cc79d3715af2383e96dd7443dcf1|0xbf452277b8af4084fb8a0472ec808f2ded51f1c1
HYDRO|UNI|0xebbdf302c940c6bfd49c6b165f457fdb324649bc|0xaa7207194d3a650e6d1636e529036624dcd50bfa
KRL|UNI|0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0|0x3e7ac3dfe933d3027a5968be23c624f1309b1b02
RSV|UNI|0x196f4727526ea7fb1e17b2071b3d8eaa38486988|0xb8342778bf84774556f162a6bcad1993d04fb398
HOT|UNI|0x6c6ee5e31d828de241282b9606c8e98ea48526e2|0xf5ef67632cd2256d939702a126fe2c047d0a07bf
ADEL|UNI|0x94d863173ee77439e4292284ff13fad54b3ba182|0xad19b7e2b1dac6cea46b18eec731981c08e6f08e
SOCKS|UNI|0x23b608675a2b2fb1890d3abbd85c5775c51691d5|0x0dacb47e00aed6abade32c7b398e029393e0d848
WAR|UNI|0xf4a81c18816c9b0ab98fac51b36dcb63b0e58fde|0x24004f6fce7e3842e5a308eac032e09f1883cef8
0XBTC|UNI|0xb6ed7644c69416d67b522e20bc294a9a9b405b31|0xc12c4c3e0008b838f75189bfb39283467cf6e5b3
DONUT|UNI|0xc0f9bd5fa5698b6505f643900ffa515ea5df54a9|0x718dd8b743ea19d71bdb4cb48bb984b73a65ce06
TTT|UNI|0x9f599410d207f3d2828a8712e5e543ac2e040382|0x7f1fd0e2a650513bc8b89dd66a51267b772d0225
REPv2|UNI|0x221657776846890989a759ba2973e427dff5c9bb|0x8979a3ef9d540480342ac0f56e9d4c88807b1cba
GNO|UNI|0x6810e776880c02933d47db1b9fc05908e5386b96|0x3e8468f66d30fc99f745481d4b383f89861702c6
AUC|UNI|0xc12d099be31567add4e4e4d0d45691c3f58f5663|0xc04744ab87a4c37afd91680ef280b96ee21a026e
YAX|UNI|0xb1dc9124c395c1e97773ab855d66e879f053a289|0x1107b6081231d7f256269ad014bf92e041cb08df
OCTO|UNI|0x7240ac91f01233baaf8b064248e80feaa5912ba3|0xd7cfbcadaaf6475321cfcf3884f15a93400be658
VALUE|UNI|0x49e833337ece7afe375e44f4e3e8481029218e5c|0xd9159376499936868a5b061a4633481131e70732
SHROOM|UNI|0xed0439eacf4c4965ae4613d77a5c2efe10e5f183|0x7d611e4cf1c7b94561c4caa5602f329d108336e3
RGT|UNI|0xd291e7a03283640fdc51b121ac401383a46cc623|0xdc2b82bc1106c9c5286e59344896fb0ceb932f53
SEED|UNI|0x30cf203b48edaa42c3b4918e955fed26cd012a3f|0x5bb64b29f09e391edd8b4ea449554d1d5d05be1f
WG0|UNI|0xa10740ff9ff6852eac84cdcff9184e1d6d27c057|0xd00ed1098180b1d6ed42b066555ab065c4515493
WOA|UNI|0xec0a0915a7c3443862b678b0d4721c7ab133fdcf|0x4f04fa61c2db90cf14840148b72bdbf9aad0b5cb
UBXT|UNI|0x8564653879a18c560e7c0ea0e084c516c62f5653|0x6a928d733606943559556f7eb22057c1964ce56a
BEST|UNI|0x1b073382e63411e3bcffe90ac1b9a43fefa1ec6f|0x744f25650af7cd016df7221bd07647ca25dfc2f3
TOMOe|UNI|0x05d3606d5c81eb9b7b18530995ec9b29da05faba|0x5c89674c4ad1ccd10a29bcc9aabc303cd5f2da1d
HEZ|UNI|0xeef9f339514298c6a857efcfc1a762af84438dee|0x23d15edceb5b5b3a23347fa425846de80a2e8e5c
PICKLE|UNI|0x429881672b9ae42b8eba0e26cd9c73711b891ca5|0xdc98556ce24f007a5ef6dc1ce96322d65832a819
ENCORE|UNI|0xe0e4839e0c7b2773c58764f9ec3b9622d01a0428|0x2e0721e6c951710725997928dcaaa05daafa031b
YFIM|UNI|0x2e2f3246b6c65ccc4239c9ee556ec143a7e5de2c|0xc3fa0a8d68a43ed336174cb5673903572bbace8e
ORO|UNI|0xc3eb2622190c57429aac3901808994443b64b466|0xa89abe11bd3ef4cf68a5004ba99b9fda52d5e8fc
